Text,labels
தன் வினை தன்னைச் சுடும் கோமாளி படத்தின் இயக்குனருக்கு .....,Sarcastic
"படம் 100% வெற்றி..... ட்ரைலரில் பல நாய்களின் வெறிச்செயல் தெரிந்து கொண்டிருக்கின்றது, படம் கண்டிப்பாக வெற்றி அடையும் இவன் தேவர் சமுதாயம்",Non-sarcastic
Appo bigil ku ippo allu vitturkumey to be Frank pakka mass and pure hit no doubt,Sarcastic
நாடார்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
இந்தப்படம் வெளியிடவேண்டும் ரெட்டியார் சமுதாயம் ஆதரவு,Non-sarcastic
தமிழ் சினிமாவே திரும்பிப் பார்க்க போற படம் இதுதான்...!!  பெண்களை சாதி ரீதியாக நாடக காதல் வலையில் வீழ்த்தி பணம் சம்பாதிக்கவும் நாடக காதல் பன்றிகளுக்கு ஒரு பாடமாக இருக்கும்....  //2020 புரட்சி//,Non-sarcastic
Kya ye movie hindi m aayegi...,Non-sarcastic
Pongal ku vara matha padangala...Thalaivar sathiyama Adichu under wear oda odavidaporaaru maanam pona thiruppi varadhu paathukonga....,Sarcastic
Rajini Mass Vijay sethupathi fans like poduga,Non-sarcastic
"Sila thala fans ku thalaye solli irukaru, semma.hatss of thala luv uuuuuuuuuuuu",Non-sarcastic
Hy semaya 90s kids like ya,Non-sarcastic
"Adapaavi siva. Adhan nan paathen yeppudi ivlo intelligent filmm pannamudiyum nu... Climax morse code scene idea interstellar film la copy pannitaaru.... But still, nice twist. Good job",Non-sarcastic
Ethana vaati pathalum fitst vaati pakura feel varuthu ..caz one name thala....,Non-sarcastic
Dei yennada marvel maari kondu varinga,Sarcastic
pakka flop thaaa mokka daww mokaaaa,Sarcastic
தைரியமாக இப்படத்தை இயக்கிய இயக்குனருக்கும் மற்றும் படக்குழுவினருக்கும் வாழ்த்துக்கள்,Non-sarcastic
Hindi main kyun nahi aaya bhai.......,Non-sarcastic
Vikram sir ithupola nalla kathaium konda padama nadinga ungala Hero va tha Nanga pakkanum All tha best Anna Vikram,Non-sarcastic
நிறைய பேரு சைக்கோ ஆகிருப்பாங்க  ராஜா சார்  ரஹ்மான் இல்லனா  ஒரு பானை சாப்பாடு க்கு ஒரு சோறு பதம் னு சொல்லுவாங்க   ராஜா சார் : தத்துவம்  கனவு காணும் வாழ்கையாவும்   (நீங்கள் கேட்டவை ) ரஹ்மான் சார் : கொண்டாட்டம்  மான மதுரை மாமர கிளியே  (மின்சாரக்கனவு ) தத்துவம்  மனசை   பக்குவப்படுத்தும்  கொண்டாட்டம்  மனசை  இளமையாக்கும் இது தெரியாமல் சண்டடை போடுபவர்களுக்கு  டாக்டர் எப்படி பட்டவரா  இருக்கட்டும்  நமக்கு  நோய் தீர்ந்ததானு   மட்டும்  பார்ப்பவர்கள் மட்டுமே  உண்மையான  இசை காதலர்கள்,Non-sarcastic
Ayooo solla varthaiye ila semma mass thalaiva,Non-sarcastic
81k watch 94 k like epdi bro,Sarcastic
"Inga “sumanth r” nu  oru thevidiya paiyan irupan , Namma Ellar poolayum oombarathuku .antha pottamaariya vidathinga Thala bloods",Sarcastic
Looking great still On trending ....,Non-sarcastic
Kappan tha Surya va kappatha poguthu..... Surya fans hit a like,Non-sarcastic
Phoenix Thala in NKPku marana waiting  Agust 10 therika vuduranda,Sarcastic
Epdithan super star matum intha vayasula ipdi irukaro semma,Sarcastic
Indian cinema  INDIANA JONES  vada en singakutty,Non-sarcastic
He is going to earn in 2019 national award pakka . And katta waiting,Non-sarcastic
செல்வராகவன் film nallathan irukum. But climax la suriya va mental aakama iruntha sari..🤔,Non-sarcastic
⊂_     (•_•) F  <⌒ A /   B  // U   _ L // O  // U (( S ||. |   ⌒) | |) /  )L__ (___,Non-sarcastic
"அடேய் சிறுத்தை குஞ்சுகளா இதுநாள் வரை எங்க மேலயே பழிய போட்டுகிட்டு இருந்தீங்க விட்டோம், இனிமேல் நாங்களே வெட்டுவோம்அதுவும் சாதாரணமா இல்ல கண்டந்துண்டமா",Sarcastic
Came here after watching kaappaan trailer 2,Non-sarcastic
Na oru thalaivar veriyan....intha padam pakanum innu nenaichen...ahna trailer pathuttu mudivu pannitten..kandippa padam pakka matten.,Non-sarcastic
Amma statue inaguration ah ? Yaravadhu sollungalay enaku kolapama iruku,Non-sarcastic
Varum                                         Par,Non-sarcastic
STR Na Enga Tamilan STR da love u mama,Non-sarcastic
"Ye jab se KGF aaya hai tab se ye log kuch bhi banate hai....NGK, PVK, CVK, BKC, BCHK....HAHAHH",Non-sarcastic
Dai trailer ah ennada idu??bomb vedichamadri aduruthu THALAIVAAAAAAAAAA,Sarcastic
May31 NGK... August 30 kaappaan... 2020 pongal surarai pottru...2020 Diwali suriya39,Non-sarcastic
neraya neraya neraya neraya neraya neraya Vera level .,Non-sarcastic
H.VINOTH After 5 Years Gundu THAAYOLI Name CHANGED Our AJITH Movie.. #SIRUTHAISivaa..,Sarcastic
நம்ம நண்பர்களுல் சிலர் தன் சமூக comment section தேடி like பண்ணுகின்றனர்.... கோபம் குரோதம் தவிர்க்க மக்களே...,Non-sarcastic
Thala maranam mass waiting from Karnataka  thala fans,Sarcastic
Vara lvl NGK and surya anna masssssss,Non-sarcastic
Keka bekka short film extended version-naan sirithaal,Non-sarcastic
Fans like.......... டேய் உங்களுக்கு வேற வேலை இல்லையாடா,Non-sarcastic
Dei atlee moodevi pathu kathuka football epdi edukanum nu,Non-sarcastic
Marana massd...Suriya anna vere vere vere level daaa :*,Sarcastic
96 ரஜினி சொன்ன பதிவு இருந்தா காட்டுங்கள் எத்தனை தடவை தான் தவறான தகவலை சொல்விங்க,Non-sarcastic
Pink ki jaisi lag rhi h,Non-sarcastic
Ravi Anna I love u so much,Non-sarcastic
"1.1k dislike,, ithuku mela epdida irukanum,, u don't know tamil,, 5 actors pidikala OK,, but bgm,,, bgm ke 100 like podalamada,,,",Non-sarcastic
2019 ponglukku sun tv la theri padam pathuttu...trailer pakuravangalam yaru?,Non-sarcastic
Mohan G Anna movie super Anna வன்னியர் சங்கம் சார்பாக பாடம் வெற்றி பெற நல்வாழ்த்துக்கள் G anna,Non-sarcastic
puratchi thalavi kamika sona tun tun aunty kamikerenga,Non-sarcastic
Maraaannnnnnaaaaaaaa Maaaaaassssssss Kadavule Ready to Rage,Sarcastic
0:33 ங்கோத்தா சில பரதேசி பசங்களுக்கு பாத்ததும் வாயில  செருப்ப கவ்வ கொடுத்து அடிச்ச மாதிரி இருக்கும்..,Non-sarcastic
Kaapaan - August 31 Saahoo   - August 31 Who will win ?,Non-sarcastic
Still messaging ga great yar,Non-sarcastic
Ennangadaa idhu trailer nu sollittu tesaer maadhiri irukku .,Sarcastic
Enaku puriyala yaaruna explain panna mudiyuma ennanu,Non-sarcastic
verithanam..luv u thala ne va thala summa therikavidromm..,Sarcastic
Stepping towards 8M views.........  Kaapaan  still in trending no -1  Surya Fans hit,Non-sarcastic
Myskin unaku kona vaayan movan thaan kidachanaa?..,Sarcastic
Dislike panna Vijay fans ku oru ooh podu,Sarcastic
"After seen Bigil trailer , better be in jail kaithi",Sarcastic
aadhi bro mass bro neenga sirippu mass broooooooo,Non-sarcastic
suriya sir u r vera level,Non-sarcastic
semma rajini .. ha... ha.... ha.....,Non-sarcastic
Ngk kaappan rendu teser um vera level la iruku,Non-sarcastic
Enna trailer da .....mass da .terrified .... extraordinary,Non-sarcastic
"Director sir Neega oru interview la solliruthinga entha mathri concept vacha padam adutha onu madurai , Theni, thirunelveli ,ella epa yavuthu coimbatore side matum tha aydukanum nu solirupinga padathoda main point enna na North tamilnadu pakkam um nerya unmai kadhaikal eruku nu திரௌபதி padathula sollirukinga",Non-sarcastic
1:34 nan kooda advertisement nu ninachean,Non-sarcastic
இனிய  தமிழ் புத்தாண்டு நல் வாழ்த்துக்கள் surya sir,Non-sarcastic
KV Anand please அயன் மாதிரி ஒரு படம் பன்னுங்க அரசியல் வேண்டாம். அரசியலுக்கும் சூர்யாவுக்கும் செட் ஆகவில்லை,Non-sarcastic
Enna da 4 naal kazhichi trending la varuthu evlo da selavu panninga,Sarcastic
Thala I am waiting for see you in screen   Thala super Massssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,Non-sarcastic
Evanavthu pongal ku varamari iruntha apdiye odidu Varathu Thalaivar.... Hope viswasam and petta as BLOCKBUSTER,Sarcastic
Ungaluku ennada theriyum.padam edukurenu yanda entha polappu seththa pamba pottu adichutu irukinga..avunga history la vantha vitham righto wrongo ana avunga la mathiri oru aalumayana thiramayana leader illa.ethunaala rendu kostinga sanda pottukurathuthan micham. Ethunala makkaluku onnum nallathu nadaka porathu illa.innum yarum makkalukunu pannanumnu yentha arasiyalvathi yum nenachu pakala..yevlo thuttu adikalam nu mattum than nenappu iruku,Non-sarcastic
Anjaan 2 nu solravanga mattum hits like,Non-sarcastic
Thalaiva ooo  munnadi ellarume kolandingodha yavanu unnode padathule kudo nerunge mudiyaadhu Ur so qute,Sarcastic
Engineering sonnavan nalla varuvan pa,Non-sarcastic
Telugu lo kuda release chesthara mari aithe dubbing chesi cheyandi Mari released epudu mari haa waiting ikkada mari,Non-sarcastic
Rajini super star next c m 2. 0  pe Super,Non-sarcastic
Thala na thala than.....thala takkaru doi,Sarcastic
Yaruya ivaaru  ipdi mass katraru,Sarcastic
Katta waiting for NGK.  U suriya sir,Non-sarcastic
Nandha Gopalan Kumaran kathiripom Surya fans mass trailer,Non-sarcastic
ventasstic Thalaivaaaaa      therrrrrrriiiiiii,Non-sarcastic
Vijay sethu pathi fans hit like,Non-sarcastic
காட்சிகள் அனைத்தும் தாழ்த்தப்பட்ட மக்களை அவமானப்படுத்துவது போல் உள்ளது.,Non-sarcastic
Thala attitude ah like pannavanga mattum like podunga,Non-sarcastic
திரைப்படம் வெற்றி பெற தமிழர் குடிகள் சார்பாக மனமார்ந்த வாழ்த்துக்கள்,Non-sarcastic
Ks Ravikumar fansku 1u like podungoooo,Non-sarcastic
50k views in 4 minutes,Non-sarcastic
துளுவ வெள்ளாளர் சார்பாக  திரௌபதி வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Kangana is best actor lekin ....Amma jessi bilkul nahi lag rahi,Non-sarcastic
Dey yarra 17 lakhs dislike panathe,Sarcastic
akki paji n rajni paji fans like,Non-sarcastic
BGM la பிண்ணு பிண்ணு பிண்றியேபா..! Harris jayaraj,Non-sarcastic
Virat kohli fans tap here,Non-sarcastic
Veri thanam THALA..... Naan ella THALA fanstayum veendi keetukureen..... Dhayavu senji yaar koodayum naama compare panni sanda pooda veenaam...... Idhu namma THALAku suthamaaa pidikaadhu..... Sooo dhayavu senji THALA rasigargalaana en sagodhara sagodharigal matrum nanbargaltaa veendi keetukureen..... namma tharatha naamaleey korachikka veenaam......,Non-sarcastic
"Trailer nalla irruku.... But, bigil koda release panna thinga.. Free advice. Ketta kelunga kekati ponga",Non-sarcastic
Naicker sarbaga indha padam vetri pera vazhatukala,Non-sarcastic
thalaadaa eppavume gethu thanda vera leval superb,Non-sarcastic
Diwali race winner..... Oppent aale illa sollo aahiten.......,Sarcastic
Ama apdi yena pudikala ungaluku ....unlike panringa bro.....pudikalaya paakathinga...thayavu sengi unlike panathinga,Sarcastic
Awarda Eduthu veinga da   Adichi thavamsam panna varan Thalaivan,Sarcastic
Last dilogue : pollachi incident..thala,Non-sarcastic
Confirm flop till u leave siva..,Sarcastic
Abiya oh thala kudava nadichurukka kadavule abi alugachi,Sarcastic
vatri pera valthukal.... jam ravi anna ...,Non-sarcastic
Thekatta thekatta graphics idhe padathukku oru minus aa irukka pogudhu,Non-sarcastic
அண்ணா இந்த படம் எப்ப வரும்னு நான் ரொம்பவும் எதிர்பாக்கரன்....இதுவர நான் எந்த படத்துக்கும் தியட்டர் வாசலில் பட்டாசு வெடிச்சது இல்லை.... ஆனால் இந்த படத்துக்கு கண்டிப்பா பட்டாசு வெடிசிட்டுதான் உள்ள போவோம்.....,Non-sarcastic
Hero kya naam hai movie ka..,Non-sarcastic
Lalletan enni Tamil nadu box office         തൂകിയടി,Non-sarcastic
Wow ...... Ye kadavula parthuta .. Yeppo periya screen la pappanu marana waiting,Sarcastic
தரம் கெட்ட தலைவன் முகத்தை வெளிப்படுத்தி உள்ளார்கள்...  இது பொழுதுபோக்கு படம் அல்ல  இந்த கால பெண்கள் விழிப்புணர்வு பெற தயாரிக்கப்பட்ட ஒரு காவியம்...   நாடக காதல் கும்பலின் மூலம் வாழ்க்கையை தொலைக்காமல் வாழ வழி சொல்லும் காவியம்...  மிகப்பெரிய அளவில் வெற்றி வாகை சூட நல்வாழ்த்துக்கள்,Non-sarcastic
"Vandi reverse edutha oru tone varumey andha mari itukuu ,andha mari nu ila adhey dha",Sarcastic
Thala ya kalaicha sethiruva aadhi... Poiduva bedhi....,Sarcastic
"love your enemies, aama aama..super edit ;)",Non-sarcastic
Trailer mass . suryaaaaaaaa anna love u 🤗🤗,Non-sarcastic
All d best for d entire team #KAAPPAN...,Non-sarcastic
அருமையான படம் இப்ப இருக்கும் சமுதாய சீர்கேட்டுக்கு தகுந்த பாடம் இருக்கும் இந்த படம் வெற்றி பெறும்,Non-sarcastic
வா அசுர வா அசுர வா.... அப்படியே இருக்கே 🤣🤣🤣,Non-sarcastic
பா ரஞ்சித் மாமா வளவன்  இவர்களை உரிக்க எடுக்க பட்ட படம்...,Non-sarcastic
give like if movie is going to blockbuster,Non-sarcastic
Sc பிரிவில் மிக கேவளமானவர்கள் இந்த பயையர் சமூகத்து சிலர்  அவர்களால் ஓட்டு மொத்த sc பிரிவினருக்கும் ஒரே முத்திரை  அவர்களை சொல்லி தவறில்லை வழிகாட்டுதல் அப்படி......ஒருநாள் எல்லா சமூகமும் உயர்ந்து ஒன்றாக சமமாக நிற்கும் இவர்களை தவிர.அதற்கு காரணம் அவர்களே .,Non-sarcastic
Finally real time likes 302K likes,Non-sarcastic
Neriya neriya neriya .. paa vera level,Non-sarcastic
Trailer paathu sirichavanga matum like podunga,Sarcastic
Dei enada panni vechurukinga....mokkaaaa....Amma maariye ilaiye,Sarcastic
Thalaivaaa Sure BB 🤩 Eduthu vainga da national award ah,Sarcastic
Kangana looks like jaylalita's wax figure,Non-sarcastic
அணைத்து சமுதாய பெண்பிள்ளைகளும் இந்த படத்தின் மூலம் பாடம் கற்கவேண்டும் ...மற்றும் நாடக காதலை கருவருக்கவேண்டும் .,Non-sarcastic
Teasereya peramandrama irukeya trailer atha Veda Hmm sema,Non-sarcastic
Ilayaraja Ivarae copycat pannirikkaru ippa ivara enna solla,Sarcastic
Ajith Sir congrats...  varusathuku oru padam vanthalum   athum Vera Leval la eruku Sir.  love u Thala .....,Non-sarcastic
"வன்னியகுல க்ஷத்ரியர், வன்னியர், வன்னிய கவுண்டர், கவுண்டர், கண்டர், படையாட்சி, பள்ளி, அக்னிகுல க்ஷத்ரியர், நாயகர், நாயக்கர், நயினார், வாண்டையார், சம்புவரையர், காடவராயர், கச்சிராயர், காலிங்கராயர், மழவரையர், உடையார், சோழிங்கர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்   திரௌபதி",Non-sarcastic
Actor Vijay Anna Bairavaa Teaser Dialogue's:  Dialogue-1 Vijay Anna: தெரிஞ்ச எதிரியை விட தெரியாத எதிரிக்கு தான் அள்ளு அதிகமா இருக்கணும்  Dialogue-2 Vijay Anna Cute Dialogue: விளையாடலாமா.....  Dialogue-3 Vijay Anna: இன்னைக்கு நிறைய பேர்டா இல்லாத கேட்ட பழக்கம் என்ட இருக்குது  Dialogue-4 Villian: நீ என்ன வசூல் மன்னனா....?   Dialogue-5 Thalapathy:தெரியல அப்படித்தான் பேசிக்கிறாங்க... Sema  Last Dialogue-6 Vijay Anna: எப்போ வரும்-னு சொல்லனுமா.....?,Non-sarcastic
"2009#AyanBlockbuster  2019,Kaappan. ,surya. Getup. Supeer. Like. For. Surya. Fans",Non-sarcastic
mass pakka mass  0:32   0:42,Non-sarcastic
thee mugam song ketutu yaru ellam trailer pakka vanthinka ...,Non-sarcastic
N g k Hindi movie do,Non-sarcastic
trailer chumma theri-kithu ...... anna always masssssssssss thaaaaaaaaaaaaaaaaaaaaaaaa,Non-sarcastic
வந்தா ராஜாவா தான் வருவேன்........ ராஜாவா வந்தா ராஜாவுக்கு நூறு தோஸ்து!!!...,Non-sarcastic
Thalaivar sonna maari sweet sapida poren,Non-sarcastic
NGK Movie 31 Thethi Varoom  Paar,Non-sarcastic
Fghjk dfhjkodd xgklfscjoscj fhkllfss MIND BLOWING,Non-sarcastic
நல்ல  நகைச்சுவை  பட ட்ரைலர் ரொம்ப்ப நாள் கழிச்சு ......,Non-sarcastic
Aiyoo thalaivar padam january 10ah pongal release illaiaya,Sarcastic
Gvp intha mathiri story Ku apt aa  BGM potrukanga. Any gvp fans!,Non-sarcastic
Dislikes podheruku orru group vaarum polleh......  Mother fuckers,Sarcastic
Padathula vara figure semma ya irukku.,Non-sarcastic
Ratchasan movie saayal maathirium iruku...illatha maarium irukumm.,Sarcastic
6.2k dislike நாடக காதல் கும்பல் கதறல் திமிராய வருகிறாள் திரளபதி,Non-sarcastic
A selvaraghavan film idhu irudha vera enna venum,Non-sarcastic
உனக்கு யாராது பழைய friend இருக்காங்களா..? நம்பாத..,Non-sarcastic
இது எந்த சமூகத்துக்கும் எதிரான படமல்ல கீழ கமெண்ட் போடுறவுங்க கொஞ்சம் யோசிச்சி போடுங்க ......படத்தோட  டைரக்டர் ரஞ்சித் இல்ல ''டைரக்டர் மோகன்'' ..... சாதிய வெறியா இல்ல சமூகப்பார்வையான்னு  படம் சொல்லட்டும்  ......,Non-sarcastic
Ellam ok nalla than irukku......aana ippe bigil kitte modhi thevai illame nalla padathe flop aakke porange,Sarcastic
இராஜபாளையம்(வாகைக்குளம்பட்டி) வேளாளர் சமுதாயம் சார்பாக திரெளபதி படம் வெற்றியடைய வாழ்த்துக்கள்..,Non-sarcastic
yar ellam sun tv la audio launch paathu inga vanthavangaaa,Non-sarcastic
Omg omg omg I just loving thalaivar get up and dialogues. Marana masssss,Non-sarcastic
இந்த teser ல கதை புரிஞ்சதுனு சொல்றவன் தான் அல்ட்ரா லெஜன்ட்....  எனக்கு புரியல... 🤣,Non-sarcastic
Enna daa bigil dialogue maathiri irukku 0:13,Non-sarcastic
"pink remake.,...ana amitab bachan alavuku la mass a nadikave midiyathu!!@!!",Sarcastic
Pala naaal kanavu  now it comes tru...,Non-sarcastic
India largest 215 feet cutout NGK,Non-sarcastic
Rajini sir no1 not Ajith sir,Sarcastic
Vikaram sir+ bgm pullu arikkithu.marana mass waiting,Sarcastic
Anil Kunjunga Romba romba romba paaaaaaaaaaaavam Wooooooooooooo,Non-sarcastic
Dislike panunavan pondati silk da,Sarcastic
Cycle gapela enga thalaivana asinga padutheetingala nanba,Sarcastic
அப்ப வேற ஜாதி பெண்களை இங்க கமெண்டில் பதிவு போட்ட ஆட்கள் திருமணம் செய்வதில்லை.இல்லை தேவர் நாடார் வன்னியர் முதலியார் கவுண்டர் எல்லாம் சரி சமமான ஜாதியா.பொள்ளாச்சி வீடியோ எடுத்தவனுக்கு இப்படம் சமர்ப்பணம்,Non-sarcastic
Ajith sir kilavan ninaikkavanga like pannunga,Sarcastic
kaidhi deepali ku semma treat irku,Non-sarcastic
bravo...enaku ena sollanea theriyala.....Ajith: coffee Sollunga...Semma counter la...,Non-sarcastic
namakku thevayanadha nammadhaan adichu vaanganum,Sarcastic
"Thevar,vanniyar,kownder,Nadar Pillamar, bramins,nayakar, viswakarma,FDO,.....Yela community um support panuraga.....Naaga yaarum jaathi paakamatha movie Ku support pannurom yen naaga entha mathiri nadaha Kadhal panathu illa panaa ore echa group.......Kurumaa gangs",Non-sarcastic
Idhela sonna jadhi veri padonu solluvanunga theru theruva kodi pidipanunga ....,Non-sarcastic
Go*** Sk Va Thapa Pesa Evanumkum Thaguthi Illa,Sarcastic
Am  Waiting   last bitu veriithaanaaammm,Non-sarcastic
Super  star Rajini fans like her,Non-sarcastic
Surya na singam This teaser bangam,Non-sarcastic
Dislike pottavanlam...enga poi mutti saga porano,Sarcastic
Suryas diehard fans hit like here,Non-sarcastic
Hip Hop tamizha FANS unda 🤣🤣,Non-sarcastic
Sema Mass ....POLI...... SURIYAVAUM ANTIINDIAN akitanga PA...,Sarcastic
Mind blowing  Ipo paarunga therikka vitudalam,Sarcastic
"Postman Oru Zee5 Series irukku .. athula antha manusan 30varusam Coma Poiduvan,  Piragu Vanthu partha Ella marrrierukum",Sarcastic
படம் வெற்றி பெற நாடார் சமூகம் சார்பாக வாழ்த்துக்கள்.,Non-sarcastic
Rajini power     # ipo itha lusu pasaga jam Ravi and producer director s gu purichurugum .....,Sarcastic
Pon manikavel siroda guts pathi therinjavanga like panunga,Non-sarcastic
Jiii a Ku oru hittu parcel,Non-sarcastic
Commercial kuppai igil Ku thriller story Kaithi eh paakalam,Non-sarcastic
1:41 VILLINOUS SMILE VIJAYSETHUPAHY MARANA GETHU,Sarcastic
மரண மாஸ் தல உன் உழைப்பின் உச்சம் இது I Love  You Thala iam waiting thala,Sarcastic
Adhi na hurt aagura maadhiri Sentimental scenes lam varum pola iruku Manasa kallaakika da soona paana,Non-sarcastic
Mohan Annan ranjith mathiri arasiyal Panama irutharapaym sarnthu oru nalla movie message movie ya irukum enru nambukiren vazhthukal,Non-sarcastic
but kannadigas and tamil fight naaaaaaaaaaa...,Non-sarcastic
"திருப்பூர் மாவட்டம் வெள்ளகோவில் சார்பாக படம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்,எங்களின் எண்ணம் உங்களின் தற்போதைய செயல்",Non-sarcastic
KEEP WATCHING GUYS!!! THE VIEWS WILL ALL BE ADDED AND IT WILL BE KOLAA MASSSSS VIEWS DO NOT STOP WATCHING I REPEAT DO NOT STOP WATCHINGGG #YOUWILLSEEMYRAGE,Non-sarcastic
Yanga thalivar padathala teejay iruka yaravathu kandupidecha commant panunga,Sarcastic
I am thalapathy veriyan ana tresar sema pa,Non-sarcastic
Hip hop aadhi illa ha ha ha ha adhi🤣🤣🤣🤣🤣🤣,Non-sarcastic
Villainkuuu  mass dialogue irrundha  Padam hit uu,Non-sarcastic
நடிகை தேர்வு ஜே'வின் இறப்பை விட மர்மமானது! Kangana's casting Decision a Greater Mystery than J's death Mystery!,Non-sarcastic
வன்னியர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Political scene ku deepa ammava nadichurukalam,Non-sarcastic
"இதுல ஜாதியே mention பன்னல அதுக்குள்ள குருமா குரூப்க்கு கோவம் வருது , எவ்ளோ தான் நீங்க முன்னேறினாலும் உங்க புத்தி மட்டும் மாறாது டா, chai!!!!",Sarcastic
Ayan2 madhiri irukku   From Karnataka,Non-sarcastic
kotha mass da thalapathy mass da,Sarcastic
Nalla iruku aana etho miss aaguthu,Sarcastic
Omalla mass u da ! Gethu da !,Sarcastic
Worst da. Jayam Ravi un mella irundha ore mariyadai poiruchu,Non-sarcastic
Naam thamilar.... Enga appa military da... Dr prabhagaran......,Non-sarcastic
chakkiliyan samugam sarbaga Padam vetri pera vazhtukkal,Non-sarcastic
RAJINI NA Endrum super star ni kalaku thalavaaaa,Non-sarcastic
எந்த வருடம் என்பதற்கு ரஜினி அரசியலுக்கு வருவேன் என்று சொல்லும் காட்சி 1996  ப்பா..... முடியல,Non-sarcastic
intha naai Ku vera vela Ila thooooo oodi po naaya,Sarcastic
Santhanam hero va comady pannamatana sollitan ne zero,Sarcastic
நாடார் சமுதாயம் சார்பாகே படம் மிக பெரிய வெற்றி அடையே வாழ்த்துக்கள்....,Non-sarcastic
Phoenix Thala in NKPku marana waiting Agust 10 therika vuduranda,Sarcastic
"அகமுடையார்களின் (சேர்வை) சார்பில் படக்குழுவிற்கு வாழ்த்துக்கள், படம் வெள்ளி விழா காண்பது உறுதி, அரசியல் கட்சிகள் ஓட்டு அரசியலுக்காக சமூக நீதி என்ற பெயரில்  நாடக காதல் நாய்களை வளர்த்துவிடுகின்றன , இப்படம் அவர்களுக்கு செருப்படி",Non-sarcastic
Vijay karayunnathu kandal chirikan oru defectum venamenilla. Haha,Non-sarcastic
0.22  enada puttu elaeem paraka viduringa,Non-sarcastic
3M Views with 555k likes 🤘,Non-sarcastic
Thala ajith kumar Yuvan shankar raja H. Vinond Uff,Non-sarcastic
10 million massss....target achieved....superb suriya fans....padam therikkaaa vidanum! !!!,Sarcastic
படம் நிச்சயமா ரிலீஸ் ஆகனும் தஙகளின் படைப்புக்கு தலை வணங்குகிரேன்,Non-sarcastic
Aravin sami: Unaku yaravathu palaya friend irukqngala..........   Nambatha,Non-sarcastic
இன்னும் படமே ரீலிசாகலை..ட்ரெயிலரை வச்சி படத்தை தடை பன்னனும்னு சொல்ற அளவுலதான் இங்க கருத்துரிமை சுதந்திரம் இருக்கு.. ச்சீ,Non-sarcastic
ORU MANUSHUNA ALICHIDALAM AVANUKAGA VECHA SILAIYA ODACHIDALAM AANA AVAN SINDHANAYUM SIDHARNTHAYUM YAARALUM ALIKA MUDIYADHU,Sarcastic
Ipo matum ila eppavum thalaivar tha maassssss,Sarcastic
Super thalaiva.indha dhadava Pongal Marana mass .visvasam kusuvasama ayidum,Sarcastic
வள்ளுவர் குல சார்பாக இப்படம் வெற்றி பெற வாழ்த்துகள்,Non-sarcastic
"Dhanush anna kazhuthula ruthrasha kotta illa, karuppu kairu mattum irukku, avuroda pasangalukum athey maari kairu kazhuthula iruku",Sarcastic
ada pavikagala ticket poora full coimbatorela,Sarcastic
Average movie no interesting testing scene mauli copied movie,Sarcastic
AjiTh FanS Ku AjiTh(A) #RajiniFan irunthu solrapula LasT Dialouge...,Sarcastic
சூர்யா ரசிகர்களுக்கு கொண்டாட்டம் அதை விட நம்ம மோகன்லால் சார் ரசிகர்களுக்கு இன்னும் செம கொண்டாட்டம் காப்பான் வெற்றி பெற வாழ்த்துகள்,Non-sarcastic
Final touch ultimate naa arasiyalku varuvathu urudhi sema punchhhh,Non-sarcastic
"Nivetha pethuraj , vijay sethupathi best jodi.",Non-sarcastic
dear thalapathy fans unge hero kku kathai choose panne teriyame mokke movie yave nadikkiraru... Athukku yen enge hero ve pathi kandathanama pesi ippadi thuppu vangikiringe??? Thale veriyan from Malaysia,Sarcastic
இளையராஜாவின் இசை படத்தின் பலம்..இயக்குநர்      மிஷ்கின் படைப்பு அருமை..வாழ்த்துகள்,Non-sarcastic
Good luck from THALAPATHY fans kerala,Non-sarcastic
"மோகன் ஜீ வாழ்த்துக்கள். படம் மிகப்பெரும் வெற்றி பெற கொங்கு வெள்ளாள கவுண்டர்களின் சார்பாக வாழ்த்துக்கள்,இந்த மாதிரி படத்தைதான் பல நாட்களாக எதிர்பார்த்து இருந்தோம்  அங்கு ரஞ்சித் போன்ற சாதி வெறி பிடித்த ஆட்கள் இருக்கும் போது,இங்கு உங்களை போல எங்களுக்கென சிலர்,சந்தோசமங்க.",Non-sarcastic
Serving soon nu yethana masama sollitu irukanga,Sarcastic
Sathiyama oodathu da daeee.. dialogues  kevalam.. theme baga baga,Sarcastic
Marana mass trailer suriya sir fans like it,Non-sarcastic
"Sathiyama  ithu ajith pada trailer ah.....Kevalama iruku vera level la yethirpathen ,,,, disappointing",Sarcastic
Enna da adutha flop varupogutha,Sarcastic
CM aagapogum engal  singam Suriya,Sarcastic
Thala ajith telugu fans hit like,Non-sarcastic
rajini nee gaali raajaali nee gaali oora evvalavu naal aematralaam unnoida komaali rasikan ullavarai .,Sarcastic
Vijay sethupathi fans like here..,Non-sarcastic
